propertiesid,property_type,property_status,availability,country,division,city,current_zones,zone,price,interior_area,gros_area,bedrooms,bathrooms,other_rooms,year_of_construction,year_of_renovation,closed_price
948301,Apartment,Used,Available,Albania,Tirana,Tirana,"Ish Ekspozita","Ish Ekspozita",67525.00,42,42,1,1,0,1975,0,NULL
948275,Apartment,Used,Available,Albania,Tirana,Tirana,Oxhaku,Oxhaku,59000.00,84,84,2,1,0,1985,0,NULL
948219,Apartment,Used,Available,Albania,Tirana,Tirana,"Zogu I Zi","Zogu I Zi",81500.00,90,90,2,2,0,2019,0,NULL
947861,Apartment,Used,Available,Albania,Tirana,Tirana,Astiri,Astiri,60000.00,68,79,1,1,0,2015,0,NULL
947596,Apartment,Used,Available,Albania,Tirana,Tirana,"Institut Kamëz","Institut Kamëz",73450.00,96,114,2,1,0,2015,0,NULL
947569,Apartment,New,Available,Albania,Tirana,Tirana,"Rruga e Elbasanit","Rruga e Elbasanit",235000.00,204,215,3,2,0,2016,0,NULL
947536,Apartment,Used,Available,Albania,Tirana,Tirana,"Institut Kamëz","Institut Kamëz",44200.00,60,69,1,1,0,2015,0,NULL
947462,Apartment,New,Available,Albania,Tirana,Tirana,Hipoteka,Hipoteka,179000.00,118,128,2,2,0,2018,0,NULL
946773,Apartment,Used,"In evaluation",Albania,Tirana,Tirana,"Tregu Elektrik","Tregu Elektrik",650000.00,404,486,3,3,0,0,0,NULL
946757,Apartment,Used,Available,Albania,Tirana,Tirana,"Stadiumi Dinamo","Stadiumi Dinamo",176000.00,108,126,3,2,1,1993,0,NULL
946588,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Ali Demi","Ali Demi",75000.00,105,105,2,1,0,2002,0,NULL
946566,Apartment,Used,Available,Albania,Tirana,Tirana,"Rruga e Dibrës","Rruga e Dibrës",190000.00,147,167,3,2,0,2007,0,NULL
946535,Apartment,Used,Available,Albania,Tirana,Tirana,"Ish stacioni i fundit i Tiranës së Re","Ish stacioni i fundit i Tiranës së Re",110000.00,96,105,2,1,0,2005,0,NULL
946503,Apartment,Used,Available,Albania,Tirana,Tirana,"Pallati me Shigjeta","Pallati me Shigjeta",85000.00,95,95,2,1,0,2018,0,NULL
946476,Apartment,Used,Available,Albania,Tirana,Tirana,"Rruga e Kavajës","Rruga e Kavajës",170000.00,119,140,2,2,0,2021,0,NULL
946468,Apartment,Used,Available,Albania,Tirana,Tirana,Yzberish,Yzberish,67000.00,90,98,2,2,0,2015,0,NULL
946425,Apartment,Used,Available,Albania,Tirana,Tirana,"Ish Blloku","Ish Blloku",450000.00,183,183,3,2,0,2003,0,NULL
946322,Apartment,Used,Available,Albania,Tirana,Tirana,Yzberish,Yzberish,88000.00,110,110,2,2,0,2010,0,NULL
946317,Apartment,Used,Available,Albania,Tirana,Tirana,Yzberish,Yzberish,61000.00,76,76,2,1,0,2010,0,NULL
946302,Apartment,Used,Available,Albania,Tirana,Tirana,"Stadiumi Dinamo","Stadiumi Dinamo",310000.00,115,131,3,2,0,2019,0,NULL
946119,Apartment,New,Available,Albania,Tirana,Tirana,Medreseja,Medreseja,96000.00,104,120,2,2,0,2021,0,NULL
