propertiesid,property_type,property_status,availability,country,division,city,current_zones,zone,price,interior_area,gros_area,bedrooms,bathrooms,other_rooms,year_of_construction,year_of_renovation
15085,Apartment,Used,Available,Albania,Tirana,Tirana,"Rruga e Kavajes","Rruga e Kavajes",95000,90,95,2,1,0,0,0
15084,Apartment,Used,Available,Albania,Tirana,Tirana,"Komuna e Parisit","Komuna e Parisit",179800,124,0,2,2,0,0,0
15039,Apartment,Used,Available,Albania,Tirana,Tirana,"te Liqeni","te Liqeni",135000,136,150,3,2,0,0,0
15003,Apartment,Used,Available,Albania,Tirana,Tirana,"Rruga e Elbasanit","Rruga e Elbasanit",125000,95,0,2,1,0,0,0
15001,Apartment,Used,Available,Albania,Tirana,Tirana,"Rruga e Dibres","Rruga e Dibres",85000,105,0,2,2,0,0,0
14998,Apartment,Used,Available,Albania,Tirana,Tirana,"Rr. "5 Maji"","Rr. "5 Maji"",93000,100,0,2,2,0,0,0
14993,Apartment,New,Available,Albania,Tirana,Tirana,"Rruga e Kavajes","Rruga e Kavajes",63000,73,73,1,1,0,0,0
14983,Apartment,New,Available,Albania,Tirana,Tirana,"Rr. "Ali Demi"","Rr. "Ali Demi"",70900,63,71,1,1,0,0,0
14980,Apartment,Used,Sold,Albania,Tirana,Tirana,"Pallatet "Cabej"","Pallatet "Cabej"",63000,70,71,1,1,0,0,0
14967,Apartment,Used,Available,Albania,Tirana,Tirana,Brryli,Brryli,62000,65,65,1,1,0,0,0
14962,Apartment,Used,Available,Albania,Tirana,Tirana,"Don Bosko","Don Bosko",157000,152,152,3,2,0,0,0
14938,Apartment,New,Available,Albania,Tirana,Tirana,"Don Bosko","Don Bosko",97650,95,95,2,2,0,0,0
14916,Apartment,Used,Available,Albania,Tirana,Tirana,"Bulevardi Bajram Curri","Bulevardi Bajram Curri",88000,107,107,2,1,0,0,0
14912,Apartment,Used,Available,Albania,Tirana,Tirana,"Rruga e Kavajes","Rruga e Kavajes",81000,60,60,1,1,0,0,0
14908,Apartment,Used,Available,Albania,Tirana,Tirana,"Rruga e Dibres","Rruga e Dibres",116800,148,0,2,2,0,0,0
14897,Apartment,Used,Available,Albania,Tirana,Tirana,"Bulevardi "Zogu i I"","Bulevardi "Zogu i I"",150000,105,0,2,1,0,0,0
14889,Apartment,Used,Available,Albania,Tirana,Tirana,"Rruga e Kavajes","Rruga e Kavajes",95000,0,0,2,2,0,0,0
14871,Apartment,Used,Sold,Albania,Tirana,Tirana,"Don Bosko","Don Bosko",95000,0,0,2,1,0,0,0
14866,Apartment,Used,Available,Albania,Tirana,Tirana,"Rruga e Elbasanit","Rruga e Elbasanit",115000,0,0,0,0,0,0,0
14864,Apartment,Used,Available,Albania,Tirana,Tirana,"Rruga e Elbasanit","Rruga e Elbasanit",120000,0,0,2,1,0,0,0
14859,Apartment,Used,Available,Albania,Tirana,Tirana,"Prane 21- Dhjetorit","Prane 21- Dhjetorit",120000,115,129,2,2,0,0,0
13902,Apartment,Used,Available,Albania,Tirana,Tirana,"Yzberisht ","Yzberisht ",56000,70,70,1,1,0,0,0
13900,Apartment,Used,Available,Albania,Tirana,Tirana,"prane Casa Italia","prane Casa Italia",52000,70,70,1,1,0,0,0
13896,Apartment,New,Available,Albania,Tirana,Tirana,"Rr. "Xhanfize Keko"","Rr. "Xhanfize Keko"",107580,86,98,2,2,0,0,0
13894,Apartment,New,Available,Albania,Tirana,Tirana,"Rr. "Xhanfize Keko"","Rr. "Xhanfize Keko"",75471,60,75,1,1,0,0,0
