propertiesid,property_type,property_status,availability,country,division,city,current_zones,zone,price,interior_area,gros_area,bedrooms,bathrooms,other_rooms,year_of_construction,year_of_renovation,closed_price
450804,Apartment,NULL,Available,Albania,Tirana,Tirana,"Bulevardi Zogu I","Bulevardi Zogu I",183300,0,111,2,2,NULL,NULL,NULL,NULL
450777,Apartment,NULL,Sold,Albania,Tirana,Tirana,"Fiori Di Bosco","Fiori Di Bosco",99000,0,0,2,2,NULL,NULL,NULL,49700
450504,Apartment,NULL,Available,Albania,Tirana,Tirana,Petronini,Petronini,177000,0,78,2,1,NULL,NULL,NULL,NULL
450420,Apartment,NULL,Available,Albania,Tirana,Tirana,"Bulevardi Zhan Dark","Bulevardi Zhan Dark",112000,0,104,2,2,NULL,NULL,NULL,NULL
449814,Apartment,NULL,Available,Albania,Tirana,Tirana,"Harry Fultz","Harry Fultz",90000,0,91,2,1,NULL,NULL,NULL,NULL
449614,Apartment,NULL,Withdrawn,Albania,Tirana,Tirana,"Rruga e Dibres","Rruga e Dibres",100000,0,77,1,1,NULL,NULL,NULL,NULL
449543,Apartment,NULL,Available,Albania,Tirana,Tirana,"Rruga Muhamet Gjollesha","Rruga Muhamet Gjollesha",120000,0,92,2,1,NULL,NULL,NULL,NULL
449303,Apartment,NULL,Available,Albania,Tirana,Tirana,Yzberisht,Yzberisht,46000,0,67,1,1,NULL,NULL,NULL,NULL
448863,Apartment,NULL,Available,Albania,Tirana,Tirana,"Komuna e Parisit","Komuna e Parisit",173000,0,145,3,2,NULL,NULL,NULL,NULL
448739,Apartment,NULL,Available,Albania,Tirana,Tirana,"Rruga e Kavajes","Rruga e Kavajes",104000,0,104,0,0,NULL,NULL,NULL,NULL
448558,Apartment,NULL,Available,Albania,Tirana,Tirana,"Rruga e Kavajes","Rruga e Kavajes",168900,0,128,0,0,NULL,NULL,NULL,NULL
448494,Apartment,NULL,Available,Albania,Tirana,Tirana,"Myslym Shyri","Myslym Shyri",160000,0,117,3,2,NULL,NULL,NULL,NULL
448377,Apartment,NULL,Available,Albania,Tirana,Tirana,"Rruga Mine Peza","Rruga Mine Peza",92000,0,110,2,2,NULL,NULL,NULL,NULL
448287,Apartment,NULL,Available,Albania,Tirana,Tirana,"Liqeni i Thate","Liqeni i Thate",230000,0,184,3,2,NULL,NULL,NULL,NULL
448195,Apartment,NULL,Available,Albania,Tirana,Tirana,"Golden Park","Golden Park",52000,0,58,1,1,NULL,NULL,NULL,NULL
448136,Apartment,NULL,Available,Albania,Tirana,Tirana,"Unaza e re","Unaza e re",87000,0,106,2,2,NULL,NULL,NULL,NULL
447809,Apartment,NULL,Available,Albania,Tirana,Tirana,Blloku,Blloku,230000,0,124,2,2,NULL,NULL,NULL,NULL
447413,Apartment,NULL,Available,Albania,Tirana,Tirana,"Kodra e Diellit","Kodra e Diellit",115000,100,109,2,1,NULL,NULL,NULL,NULL
447348,Apartment,NULL,Available,Albania,Tirana,Tirana,"Rruga Zenel Baboçi","Rruga Zenel Baboçi",135000,0,100,2,2,NULL,NULL,NULL,NULL
447025,Apartment,NULL,Available,Albania,Tirana,Tirana,"Misto Mame","Misto Mame",104000,0,104,2,2,NULL,NULL,NULL,NULL
446885,Apartment,NULL,Available,Albania,Tirana,Tirana,"Kodra e Diellit","Kodra e Diellit",101000,0,127,2,2,NULL,NULL,NULL,NULL
446831,Apartment,NULL,Available,Albania,Tirana,Tirana,Alidemi,Alidemi,200000,0,143,2,2,NULL,NULL,NULL,NULL
446691,Apartment,NULL,Available,Albania,Tirana,Tirana,"Rruga Haxhi Dalliu","Rruga Haxhi Dalliu",115000,0,80,1,0,NULL,NULL,NULL,NULL
446067,Apartment,NULL,Available,Albania,Tirana,Tirana,"Misto Mame |##| Misto Mame","Misto Mame",52500,0,75,1,1,NULL,NULL,NULL,NULL
445891,Apartment,NULL,Available,Albania,Tirana,Tirana,"Liqeni i Thate","Liqeni i Thate",135000,0,150,3,2,NULL,NULL,NULL,NULL
445561,Apartment,NULL,Available,Albania,Tirana,Tirana,"Unaza e re","Unaza e re",82500,0,101,2,2,NULL,NULL,NULL,NULL
445471,Apartment,NULL,Available,Albania,Tirana,Tirana,"Kodra e Diellit","Kodra e Diellit",89000,0,96,2,1,NULL,NULL,NULL,NULL
444652,Apartment,NULL,Available,Albania,Tirana,Tirana,"Rruga e Kavajes","Rruga e Kavajes",73000,0,97,2,1,NULL,NULL,NULL,NULL
444121,Apartment,NULL,Available,Albania,Tirana,Tirana,Blloku,Blloku,119000,0,70,2,1,NULL,NULL,NULL,NULL
442905,Apartment,NULL,Available,Albania,Tirana,Tirana,"Rruga e Kavajes","Rruga e Kavajes",71400,0,68,1,1,NULL,NULL,NULL,NULL
442734,Apartment,NULL,Withdrawn,Albania,Tirana,Tirana,"Nente Kateshet","Nente Kateshet",146000,0,112,2,2,NULL,NULL,NULL,NULL
442252,Apartment,NULL,Available,Albania,Tirana,Tirana,Yzberisht,Yzberisht,69156,0,102,2,2,NULL,NULL,NULL,NULL
442242,Apartment,NULL,Available,Albania,Tirana,Tirana,"Yzberisht |##| Yzberisht",Yzberisht,64260,0,95,2,1,NULL,NULL,NULL,NULL
441565,Apartment,NULL,Available,Albania,Tirana,Tirana,"Materniteti i Ri","Materniteti i Ri",76000,0,108,2,1,NULL,NULL,NULL,NULL
441443,Apartment,NULL,Available,Albania,Tirana,Tirana,"Kodra e Diellit","Kodra e Diellit",124000,0,127,2,2,NULL,NULL,NULL,NULL
439969,Apartment,NULL,Available,Albania,Tirana,Tirana,Xhamlliku,Xhamlliku,90000,0,109,2,1,NULL,NULL,NULL,NULL
439881,Apartment,NULL,Available,Albania,Tirana,Tirana,"Rezidenca Kodra Diellit","Rezidenca Kodra Diellit",82000,66,78,1,1,NULL,NULL,NULL,NULL
439744,Apartment,NULL,Available,Albania,Tirana,Tirana,"Unaza e re","Unaza e re",60000,0,78,1,1,NULL,NULL,NULL,NULL
439591,Apartment,NULL,Withdrawn,Albania,Tirana,Tirana,Fresku,Fresku,40000,0,76,1,1,NULL,NULL,NULL,NULL
439425,Apartment,NULL,Withdrawn,Albania,Tirana,Tirana,"Liqeni i Thate","Liqeni i Thate",64000,0,0,0,0,NULL,NULL,NULL,64000
439247,Apartment,NULL,Withdrawn,Albania,Tirana,Tirana,"Unaza e re","Unaza e re",76000,0,0,0,0,NULL,NULL,NULL,76000
439146,Apartment,NULL,Withdrawn,Albania,Tirana,Tirana,Fresku,Fresku,35500,0,0,0,0,NULL,NULL,NULL,35500
439116,Apartment,NULL,Withdrawn,Albania,Tirana,Tirana,"Casa Italia","Casa Italia",47000,0,0,0,0,NULL,NULL,NULL,47000
439015,Apartment,NULL,Withdrawn,Albania,Tirana,Tirana,Yzberisht,Yzberisht,66000,0,0,0,0,NULL,NULL,NULL,66000
438878,Apartment,NULL,Available,Albania,Tirana,Tirana,"Unaza e re","Unaza e re",45000,0,56,1,1,NULL,NULL,NULL,NULL
438816,Apartment,NULL,Withdrawn,Albania,Tirana,Tirana,"Rruga Dritan Hoxha","Rruga Dritan Hoxha",88000,0,131,2,2,NULL,NULL,NULL,NULL
438760,Apartment,NULL,Withdrawn,Albania,Tirana,Tirana,Profarma,Profarma,79224,0,0,0,0,NULL,NULL,NULL,79224
438543,Apartment,NULL,Withdrawn,Albania,Tirana,Tirana,"Rruga e Kosovareve","Rruga e Kosovareve",240000,0,0,0,0,NULL,NULL,NULL,240000
438392,Apartment,NULL,Available,Albania,Tirana,Tirana,"Myslym Shyri","Myslym Shyri",150000,0,110,2,1,NULL,NULL,NULL,NULL
437374,Apartment,NULL,Available,Albania,Tirana,Tirana,"Komuna e Parisit","Komuna e Parisit",185000,0,150,3,2,NULL,NULL,NULL,NULL
436916,Apartment,NULL,Withdrawn,Albania,Tirana,Tirana,"Rruga Ismail Qemali","Rruga Ismail Qemali",225000,0,102,2,2,NULL,NULL,NULL,NULL
436557,Apartment,NULL,Available,Albania,Tirana,Tirana,Blloku,Blloku,0,140,0,3,2,NULL,NULL,NULL,NULL
436516,Apartment,NULL,Available,Albania,Tirana,Tirana,"Myslym Shyri","Myslym Shyri",320000,0,202,3,2,NULL,NULL,NULL,NULL
436192,Apartment,NULL,Available,Albania,Tirana,Tirana,"Kodra e Diellit","Kodra e Diellit",120000,0,111,2,2,NULL,NULL,NULL,NULL
435787,Apartment,NULL,Available,Albania,Tirana,Tirana,"Yzberisht |##| Yzberisht",Yzberisht,54000,0,78,1,1,NULL,NULL,NULL,NULL
435542,Apartment,NULL,Withdrawn,Albania,Tirana,Tirana,Fresku,Fresku,45500,0,88,1,1,NULL,NULL,NULL,NULL
435475,Apartment,NULL,Withdrawn,Albania,Tirana,Tirana,Alidemi,Alidemi,48000,0,75,1,1,NULL,NULL,NULL,NULL
435318,Apartment,NULL,Available,Albania,Tirana,Tirana,"Rruga e Kavajes","Rruga e Kavajes",115200,0,77,1,1,NULL,NULL,NULL,NULL
435245,Apartment,NULL,Reserved,Albania,Tirana,Tirana,Fresku,Fresku,60000,0,109,2,1,NULL,NULL,NULL,NULL
434792,Apartment,NULL,Withdrawn,Albania,Tirana,Tirana,"Rruga Kongresi Manastirit","Rruga Kongresi Manastirit",80000,0,0,0,0,NULL,NULL,NULL,80000
434724,Apartment,NULL,Available,Albania,Tirana,Tirana,"Unaza e re","Unaza e re",49000,0,65,1,1,NULL,NULL,NULL,NULL
434611,Apartment,NULL,Withdrawn,Albania,Tirana,Tirana,"Unaza e re","Unaza e re",66000,0,0,0,0,NULL,NULL,NULL,66000
434448,Apartment,NULL,Available,Albania,Tirana,Tirana,"Unaza e re","Unaza e re",61000,0,84,2,1,NULL,NULL,NULL,NULL
434081,Apartment,NULL,Available,Albania,Tirana,Tirana,"21 dhjetori","21 dhjetori",110000,0,88,2,1,NULL,NULL,NULL,NULL
433630,Apartment,NULL,Available,Albania,Tirana,Tirana,"Misto Mame |##| Misto Mame","Misto Mame",83000,0,105,2,1,NULL,NULL,NULL,NULL
433462,Apartment,NULL,Available,Albania,Tirana,Tirana,"21 dhjetori","21 dhjetori",193000,0,170,3,2,NULL,NULL,NULL,NULL
433248,Apartment,NULL,Available,Albania,Tirana,Tirana,Blloku,Blloku,195000,120,130,3,2,NULL,NULL,NULL,NULL
433229,Apartment,NULL,Withdrawn,Albania,Tirana,Tirana,"Don Bosko","Don Bosko",68000,0,68,1,1,NULL,NULL,NULL,NULL
433177,Apartment,NULL,Withdrawn,Albania,Tirana,Tirana,"Rruga e Dibres","Rruga e Dibres",58000,0,83,2,1,NULL,NULL,NULL,NULL
433042,Apartment,NULL,Available,Albania,Tirana,Tirana,"Pazari I ri","Pazari I ri",115000,0,96,2,1,NULL,NULL,NULL,NULL
432191,Apartment,NULL,Withdrawn,Albania,Tirana,Tirana,Fresku,Fresku,26460,0,63,1,1,NULL,NULL,NULL,NULL
431816,Apartment,NULL,Withdrawn,Albania,Tirana,Tirana,Fresku,Fresku,84000,0,120,2,1,NULL,NULL,NULL,NULL
431728,Apartment,NULL,Available,Albania,Tirana,Tirana,"Kopshti Botanik","Kopshti Botanik",200000,88,127,2,2,NULL,NULL,NULL,NULL
431709,Apartment,NULL,Available,Albania,Tirana,Tirana,"Kopshti Zoologjik","Kopshti Zoologjik",62000,0,54,1,1,NULL,NULL,NULL,NULL
431660,Apartment,NULL,Available,Albania,Tirana,Tirana,"Liceu Artistik","Liceu Artistik",165000,0,112,2,2,NULL,NULL,NULL,NULL
431637,Apartment,NULL,Available,Albania,Tirana,Tirana,Fresku,Fresku,75000,0,120,3,1,NULL,NULL,NULL,NULL
431602,Apartment,NULL,Available,Albania,Tirana,Tirana,Selite,Selite,115000,0,107,2,2,NULL,NULL,NULL,NULL
431374,Apartment,NULL,Available,Albania,Tirana,Tirana,"Kopshti Botanik","Kopshti Botanik",80000,58,85,1,1,NULL,NULL,NULL,NULL
431330,Apartment,NULL,Available,Albania,Tirana,Tirana,"Kopshti Botanik |##| Kopshti Zoologjik","Kopshti Botanik",320000,176,291,3,2,NULL,NULL,NULL,NULL
431320,Apartment,NULL,Withdrawn,Albania,Tirana,Tirana,Fresku,Fresku,45000,0,70,1,1,NULL,NULL,NULL,NULL
430945,Apartment,NULL,Available,Albania,Tirana,Tirana,Fresku,Fresku,61000,0,106,2,1,NULL,NULL,NULL,NULL
430919,Apartment,NULL,Available,Albania,Tirana,Tirana,"Don Bosko","Don Bosko",125000,0,132,3,1,NULL,NULL,NULL,NULL
430607,Apartment,NULL,Available,Albania,Tirana,Tirana,"Liceu Artistik","Liceu Artistik",100000,75,75,2,1,NULL,NULL,NULL,NULL
430558,Apartment,NULL,Available,Albania,Tirana,Tirana,"Shkolla e Kuqe","Shkolla e Kuqe",83200,0,83,2,1,NULL,NULL,NULL,NULL
430435,Apartment,NULL,Available,Albania,Tirana,Tirana,"Fusha E Aviacionit |##| Fusha e Aviacionit","Fusha E Aviacionit",70000,0,74,1,1,NULL,NULL,NULL,NULL
430390,Apartment,NULL,Available,Albania,Tirana,Tirana,"Fusha E Aviacionit |##| Fusha e Aviacionit","Fusha E Aviacionit",240000,0,172,2,2,NULL,NULL,NULL,NULL
