propertiesid,property_type,property_status,availability,country,division,city,current_zones,zone,price,interior_area,gros_area,bedrooms,bathrooms,other_rooms,year_of_construction,year_of_renovation
17239,Apartment,Used,Available,Albania,Tirana,Tirana,"Don Bosko","Don Bosko",56000,68,77,1,1,0,0,0
17224,Apartment,"Under Construction",Available,Albania,Tirana,Tirana,"Liqeni i Thate","Liqeni i Thate",140000,94,109,2,2,0,0,0
17215,Apartment,Used,Available,Albania,Tirana,Tirana,"9 kateshet","9 kateshet",147000,112,112,2,2,0,0,0
17206,Apartment,Used,Available,Albania,Tirana,Tirana,"Oxhaku |##| Xhamlliku",Oxhaku,89000,0,98,0,0,0,0,0
17204,Apartment,Used,Available,Albania,Tirana,Tirana,"21 dhjetori","21 dhjetori",55000,63,63,1,1,0,0,0
17195,Apartment,Used,Available,Albania,Tirana,Tirana,Selvia,Selvia,140000,0,100,2,2,0,0,0
17168,Apartment,Used,Available,Albania,Tirana,Tirana,Laprake,Laprake,47400,60,60,1,1,0,0,0
17166,Apartment,New,Available,Albania,Tirana,Tirana,"21 dhjetori","21 dhjetori",110000,79,87,2,1,0,0,0
17154,Apartment,Used,Available,Albania,Tirana,Tirana,Blloku,Blloku,200000,141,155,3,2,0,0,0
17148,Apartment,Used,Available,Albania,Tirana,Tirana,Blloku,Blloku,207000,128,137,3,2,0,2006,0
17144,Apartment,New,Available,Albania,Tirana,Tirana,"Liqeni i Thate","Liqeni i Thate",126000,89,103,2,2,0,0,0
17141,Apartment,New,Available,Albania,Tirana,Tirana,"Kodra e  Diellit","Kodra e  Diellit",75000,0,70,0,0,0,0,0
17135,Apartment,New,Available,Albania,Tirana,Tirana,Laprake,Laprake,63000,52,47,1,1,0,2020,0
17133,Apartment,Used,Available,Albania,Tirana,Tirana,"Rruga e Durresit","Rruga e Durresit",52000,49,49,1,1,0,0,0
17129,Apartment,Used,Available,Albania,Tirana,Tirana,"21 dhjetori","21 dhjetori",95000,103,104,2,1,0,2010,0
17113,Apartment,"Under Construction",Available,Albania,Tirana,Tirana,"Fusha e Aviacionit","Fusha e Aviacionit",95000,102,116,3,2,0,0,0
17052,Apartment,New,Available,Albania,Tirana,Tirana,Spitali,Spitali,97000,103,119,2,2,0,0,0
17050,Apartment,New,Available,Albania,Tirana,Tirana,Medreseja,Medreseja,94800,98,114,2,2,0,0,0
17049,Apartment,Used,Available,Albania,Tirana,Tirana,"Rruga Mine Peza","Rruga Mine Peza",75000,78,78,2,1,1,0,0
16984,Apartment,"Under Construction",Available,Albania,Tirana,Tirana,"Fusha e Aviacionit","Fusha e Aviacionit",81000,89,104,3,1,0,0,0
16981,Apartment,New,Withdrawn,Albania,Tirana,Tirana,"Qendra Tregtare ETC","Qendra Tregtare ETC",0,119,148,2,2,0,0,0
16978,Apartment,Used,Available,Albania,Tirana,Tirana,Medreseja,Medreseja,75000,92,92,2,1,0,0,0
16976,Apartment,Used,Available,Albania,Tirana,Tirana,"Liqeni I Tiranes","Liqeni I Tiranes",255000,170,170,3,2,0,0,0
16974,Apartment,New,Available,Albania,Tirana,Tirana,"Ali Demi","Ali Demi",67000,77,91,2,1,0,0,0
16967,Apartment,"Under Construction",Available,Albania,Tirana,Tirana,"Fusha e Aviacionit","Fusha e Aviacionit",57500,63,74,2,1,0,0,0
16964,Apartment,Used,Available,Albania,Tirana,Tirana,Yzberisht,Yzberisht,79900,0,105,0,0,0,0,0
16962,Apartment,Used,Available,Albania,Tirana,Tirana,"Astiri |##| Yzberisht",Astiri,84900,0,110,0,0,0,0,0
16960,Apartment,Used,Available,Albania,Tirana,Tirana,"Rruga e Durresit","Rruga e Durresit",65000,88,97,2,1,0,0,0
16957,Apartment,New,Available,Albania,Tirana,Tirana,"Komuna e Parisit","Komuna e Parisit",76000,50,57,1,1,0,0,0
16912,Apartment,New,Available,Albania,Tirana,Tirana,"Komuna e Parisit","Komuna e Parisit",76000,48,55,1,1,0,0,0
