century_zone,propertiesid,property_type,property_status,availability,country,division,city,current_zones,zone,price,interior_area,gros_area,bedrooms,bathrooms,other_rooms,year_of_construction,year_of_renovation,closed_price,agency,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
21 Dhjetori,843,843,843,843,843,843,843,843,843,843,843,843,843,843,775,730,730,51,843,0,0,0,0,0,0
9 Katëshet,129,129,129,129,129,129,129,129,129,129,129,129,129,129,125,123,123,3,129,0,0,0,0,0,0
ATSH,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,14,14,0,20,0,0,0,0,0,0
Ali Demi,754,754,754,754,754,754,754,754,754,754,754,754,754,754,665,639,639,37,754,0,0,0,0,0,0
Allias,52,52,52,52,52,52,52,52,52,52,52,52,52,52,48,48,48,2,52,0,0,0,0,0,0
Ambasada Amerikane,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,2,37,0,0,0,0,0,0
Astiri,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,517,517,50,543,0,0,0,0,0,0
Autostrada Tiranë - Durrës,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,7,7,3,12,0,0,0,0,0,0
Babrru,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0
Blloku,584,584,584,584,584,584,584,584,584,584,584,584,584,584,507,476,476,28,584,0,0,0,0,0,0
Blv. Zhan D'Ark,51,51,51,51,51,51,51,51,51,51,51,51,51,51,50,49,49,0,51,0,0,0,0,0,0
Brraka,177,177,177,177,177,177,177,177,177,177,177,177,177,177,165,153,153,3,177,0,0,0,0,0,0
Brryli,315,315,315,315,315,315,315,315,315,315,315,315,315,314,285,265,265,18,315,0,0,0,0,0,0
Bulevardi,77,77,77,77,77,77,77,77,77,77,77,77,77,77,69,49,49,0,77,0,0,0,0,0,0
Bulevardi Dëshmorët e Kombit,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,5,5,0,8,0,0,0,0,0,0
Bulevardi Zogu i Parë,131,131,131,131,131,131,131,131,131,131,131,131,131,131,128,121,121,3,131,0,0,0,0,0,0
Casa Italia,97,97,97,97,97,97,97,97,97,97,97,97,97,97,86,79,79,11,97,0,0,0,0,0,0
Dajti,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,25,25,2,34,0,0,0,0,0,0
Don Bosco,863,863,863,863,863,863,863,863,863,863,863,863,863,863,777,749,749,27,863,0,0,0,0,0,0
Farkë,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,8,0,0,0,0,0,0
Fresku,1553,1553,1553,1553,1553,1553,1553,1553,1553,1553,1553,1553,1553,1553,1284,1233,1233,64,1553,0,0,0,0,0,0
Frigoriferi,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,0,0,0,0,0,0
Garda,57,57,57,57,57,57,57,57,57,57,57,57,57,57,53,52,52,1,57,0,0,0,0,0,0
Gjimnazi Petro Nini Luarasi,97,97,97,97,97,97,97,97,97,97,97,97,97,97,94,86,86,10,97,0,0,0,0,0,0
Gjykata e Rrethit,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,2,0,0,0,0,0,0
Globe,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,38,38,8,62,0,0,0,0,0,0
Harry Fultz,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1,1,0,11,0,0,0,0,0,0
Hipoteka,131,131,131,131,131,131,131,131,131,131,131,131,131,131,127,123,123,7,131,0,0,0,0,0,0
Hoxha Tahsim,82,82,82,82,82,82,82,82,82,82,82,82,82,82,79,76,76,3,82,0,0,0,0,0,0
Institut Kamëz,78,78,78,78,78,78,78,78,78,78,78,78,78,78,65,65,65,5,78,0,0,0,0,0,0
Ish Dogana,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,3,47,0,0,0,0,0,0
Ish Ekspozita,60,60,60,60,60,60,60,60,60,60,60,60,60,60,54,45,45,3,60,0,0,0,0,0,0
Ish Fusha e Aviacionit,406,406,406,406,406,406,406,406,406,406,406,406,406,406,328,299,299,13,406,0,0,0,0,0,0
Ish Parku,129,129,129,129,129,129,129,129,129,129,129,129,129,129,104,99,99,8,129,0,0,0,0,0,0
Ish stacioni i fundit i Tiranës së Re,131,131,131,131,131,131,131,131,131,131,131,131,131,131,121,118,118,9,131,0,0,0,0,0,0
Kashar,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,21,21,1,22,0,0,0,0,0,0
Kinostudio,208,208,208,208,208,208,208,208,208,208,208,208,208,208,184,184,184,5,208,0,0,0,0,0,0
Kodra e Diellit Residence,357,357,357,357,357,357,357,357,357,357,357,357,357,357,339,324,324,35,357,0,0,0,0,0,0
Kodra e Priftit,24,24,24,24,24,24,24,24,24,24,24,24,24,24,22,22,22,1,24,0,0,0,0,0,0
Kombinat,64,64,64,64,64,64,64,64,64,64,64,64,64,64,61,53,53,2,64,0,0,0,0,0,0
Kompleksi Delijorgji,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,2,37,0,0,0,0,0,0
Komuna e Parisit,729,729,729,729,729,729,729,729,729,729,729,729,729,729,654,623,623,77,729,0,0,0,0,0,0
Kopshti Botanik Zoologjik,402,402,402,402,402,402,402,402,402,402,402,402,402,402,344,320,320,19,402,0,0,0,0,0,0
Kthesa e Kamzës,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,0,21,0,0,0,0,0,0
Kuçovë,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0
Laprakë,333,333,333,333,333,333,333,333,333,333,333,333,333,333,306,299,299,17,333,0,0,0,0,0,0
Libri Universitar,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,15,0,0,0,0,0,0
Liceu Artistik,54,54,54,54,54,54,54,54,54,54,54,54,54,54,49,49,49,4,54,0,0,0,0,0,0
Linzë,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,0,30,0,0,0,0,0,0
Liqeni i Thatë,704,704,704,704,704,704,704,704,704,704,704,704,704,704,615,569,569,35,704,0,0,0,0,0,0
Liqeni i Tiranës,282,282,282,282,282,282,282,282,282,282,282,282,282,282,273,235,235,12,282,0,0,0,0,0,0
Lundër,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,0,3,0,0,0,0,0,0
Maminas,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0
Marikaj,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0
Materniteti i Ri,22,22,22,22,22,22,22,22,22,22,22,22,22,22,19,19,19,0,22,0,0,0,0,0,0
Medreseja,248,248,248,248,248,248,248,248,248,248,248,248,248,248,244,230,230,16,248,0,0,0,0,0,0
Ministria e Jashtme,86,86,86,86,86,86,86,86,86,86,86,86,86,86,73,58,58,0,86,0,0,0,0,0,0
Misto Mame,311,311,311,311,311,311,311,311,311,311,311,311,311,311,271,261,261,13,311,0,0,0,0,0,0
Mjull - Bathore,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,0,4,0,0,0,0,0,0
